Id,Time[ns],0:UART: RX/TX
752,858566060.00,0A
753,858576910.00,24
754,858587750.00,47
755,858598590.00,42
756,858609450.00,47
757,858620300.00,53
758,858631140.00,56
759,858641990.00,2C
760,858652840.00,31
761,858663690.00,2C
762,858674530.00,31
763,858685370.00,2C
764,858696230.00,30
765,858707080.00,30
766,858717920.00,2C
767,858728770.00,30
768,858739630.00,2A
769,858750470.00,37
770,858761310.00,37
771,858772160.00,0D
772,858783000.00,0A
773,858793860.00,24
774,858804700.00,47
775,858815550.00,51
776,858826390.00,47
777,858837250.00,53
778,858848090.00,56
779,858858940.00,2C
780,858869780.00,31
781,858880640.00,2C
782,858891490.00,31
783,858902330.00,2C
784,858913170.00,30
785,858924030.00,30
786,858934870.00,2C
787,858945720.00,30
788,858956560.00,2A
789,858967410.00,36
790,858978270.00,34
791,858989110.00,0D
792,858999950.00,0A
793,859010800.00,24
794,859021660.00,47
795,859032500.00,4E
796,859043350.00,47
797,859054190.00,4C
798,859065050.00,4C
799,859075890.00,2C
800,859086730.00,2C
801,859097580.00,2C
802,859108440.00,2C
803,859119280.00,2C
804,859130130.00,2C
805,859140970.00,56
806,859151830.00,2C
807,859162670.00,4E
808,859173520.00,2A
809,859184360.00,37
810,859195210.00,41
811,859206060.00,0D
812,859216910.00,0A
813,1737426400.00,FF
814,1738123440.00,FF
815,1738635390.00,FF
816,1738840890.00,FF
817,1738952910.00,FD
818,1739000340.00,FF
819,1739299920.00,F7
820,1739313730.00,FF
821,1739393200.00,FF
822,1739438150.00,FF
823,1739466900.00,F7
824,1739605480.00,BF
825,1739701290.00,FF
826,1739715610.00,FF
827,1739734790.00,FF
828,1739869250.00,FF
829,1739947470.00,FF
830,1739957870.00,DF
831,1739993630.00,EF
832,1740055740.00,FF
833,1740074410.00,BF
834,1740106870.00,FF
835,1740285040.00,FF
836,1740485150.00,DF
837,1740594080.00,FF
838,1740629390.00,FF
839,1740742390.00,FF
840,1740878190.00,7F
841,1740933470.00,3F
842,1740945000.00,FF
843,1740958040.00,FF
844,1741002900.00,FF
845,1741035930.00,3F
846,1741088430.00,F7
847,1741121070.00,BF
848,1741174490.00,FF
849,1741231840.00,BB
850,1741251460.00,FF
851,1741270110.00,BF
852,1741298690.00,DF
853,1741374160.00,FC
854,1741431580.00,FF
855,1741446500.00,FF
856,1741470950.00,CF
857,1741566270.00,FF
858,1741592950.00,FB
859,1741652290.00,FF
860,1741736970.00,7F
861,1741749880.00,37
862,1741808000.00,DF
863,1741857830.00,FF
864,1741880160.00,FF
865,1741993340.00,DF
866,1742013880.00,7F
867,1742035220.00,7F
868,1742068760.00,EE
869,1742115280.00,F7
870,1742235300.00,77
871,1742277810.00,FF
872,1742346100.00,FF
873,1742363790.00,FF
874,1742402490.00,FF
875,1742511790.00,BF
876,1742548670.00,FF
877,1742595530.00,FF
878,1742606480.00,FB
879,1742628740.00,7F
880,1742685070.00,DF
881,1742731390.00,FF
882,1742754860.00,F3
883,1742793490.00,FE
884,1742831690.00,7F
885,1742860320.00,CF
886,1742918150.00,BF
887,1742946570.00,FF
888,1743030070.00,FD
889,1743048670.00,FF
890,1743094190.00,DF
891,1743153490.00,BF
892,1743185140.00,F3
893,1743196830.00,BB
894,1743218310.00,FF
895,1743320910.00,DF
896,1743347300.00,FE
897,1743371210.00,FF
898,1743393280.00,F5
899,1743465080.00,FF
900,1743600330.00,FF
901,1743614590.00,FF
902,1743767500.00,DF
903,1743796050.00,77
904,1743839010.00,FF
905,1743856310.00,BF
906,1743996650.00,BF
907,1744022070.00,FF
908,1744077810.00,3F
909,1744143470.00,FF
910,1744163790.00,FF
911,1744206810.00,FF
